,precision,recall,f1-score,support
腺癌,0.9553571428571429,0.9224137931034483,0.9385964912280702,116.0
肺良性疾病,0.9340659340659341,0.85,0.8900523560209425,100.0
鳞癌,0.8043478260869565,0.8409090909090909,0.8222222222222223,44.0
无法判断组织分型,0.726027397260274,0.8412698412698413,0.7794117647058825,63.0
复合型,0.42105263157894735,0.6666666666666666,0.5161290322580646,12.0
转移癌,0.8,0.7619047619047619,0.7804878048780488,21.0
小细胞癌,0.6666666666666666,0.42857142857142855,0.5217391304347826,14.0
大细胞癌,0.47368421052631576,0.47368421052631576,0.47368421052631576,19.0
accuracy,0.8251928020565553,0.8251928020565553,0.8251928020565553,0.8251928020565553
macro avg,0.7226502261302796,0.7231774741189442,0.7152903765342911,389.0
weighted avg,0.8368766510681902,0.8251928020565553,0.827895341013937,389.0
