,precision,recall,f1-score,support
腺癌,1.0,1.0,1.0,116.0
肺良性疾病,0.970873786407767,1.0,0.9852216748768473,100.0
鳞癌,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0
无法判断组织分型,1.0,0.9206349206349206,0.9586776859504132,63.0
复合型,0.9230769230769231,1.0,0.9600000000000001,12.0
转移癌,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
小细胞癌,1.0,1.0,1.0,14.0
大细胞癌,1.0,1.0,1.0,19.0
accuracy,0.9820051413881749,0.9820051413881749,0.9820051413881749,0.9820051413881749
macro avg,0.9725392932310408,0.981286075036075,0.9764255807799403,389.0
weighted avg,0.9826612103049072,0.9820051413881749,0.9819376489035758,389.0
