,precision,recall,f1-score,support
腺癌,0.9663865546218487,0.9913793103448276,0.9787234042553192,116.0
肺良性疾病,0.8909090909090909,0.98,0.9333333333333333,100.0
鳞癌,0.9069767441860465,0.8863636363636364,0.896551724137931,44.0
无法判断组织分型,0.7702702702702703,0.9047619047619048,0.832116788321168,63.0
复合型,0.6666666666666666,1.0,0.8,12.0
转移癌,0.8235294117647058,0.6666666666666666,0.7368421052631577,21.0
小细胞癌,0.6666666666666666,0.2857142857142857,0.4,14.0
大细胞癌,0.5,0.05263157894736842,0.09523809523809525,19.0
accuracy,0.8740359897172236,0.8740359897172236,0.8740359897172236,0.8740359897172236
macro avg,0.7739256756356618,0.7209396728498362,0.7091006813186256,389.0
weighted avg,0.8579773886340585,0.8740359897172236,0.8514655264095194,389.0
