,precision,recall,f1-score,support
腺癌,0.9666666666666667,1.0,0.983050847457627,116.0
肺良性疾病,0.9313725490196079,0.95,0.9405940594059405,100.0
鳞癌,0.8723404255319149,0.9318181818181818,0.9010989010989012,44.0
无法判断组织分型,0.76,0.9047619047619048,0.8260869565217391,63.0
复合型,0.6,1.0,0.7499999999999999,12.0
转移癌,0.8,0.5714285714285714,0.6666666666666666,21.0
小细胞癌,0.6666666666666666,0.14285714285714285,0.23529411764705882,14.0
大细胞癌,0.42857142857142855,0.15789473684210525,0.23076923076923078,19.0
accuracy,0.8688946015424165,0.8688946015424165,0.8688946015424165,0.8688946015424165
macro avg,0.7532022170570356,0.7073450672134882,0.6916950974458955,389.0
weighted avg,0.8560662144855755,0.8688946015424165,0.8495215094770545,389.0
